2021-01-01 09:54:38
Running ./benchmarks/benchmark
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.21, 1.38, 1.43
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1/manual_time_mean",5,65.499,89.0364,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1/manual_time_median",5,64.8073,88.0971,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1/manual_time_stddev",5,2.94136,3.60432,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4/manual_time_mean",5,140.633,163.731,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4/manual_time_median",5,140.693,163.775,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4/manual_time_stddev",5,0.275419,0.314552,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16/manual_time_mean",5,424.688,447.882,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16/manual_time_median",5,423.195,446.393,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16/manual_time_stddev",5,3.68389,3.77594,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/64/manual_time_mean",5,1525.08,1548.04,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/64/manual_time_median",5,1524.37,1547.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/64/manual_time_stddev",5,3.78044,3.73202,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/256/manual_time_mean",5,6001.59,6026.97,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/256/manual_time_median",5,5970.89,5996,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/256/manual_time_stddev",5,73.1824,74.4285,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1024/manual_time_mean",5,25833.5,25871.5,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1024/manual_time_median",5,25793.6,25831.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1024/manual_time_stddev",5,166.828,167.125,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4096/manual_time_mean",5,104369,104415,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4096/manual_time_median",5,103794,103840,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4096/manual_time_stddev",5,2256.99,2256.98,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16384/manual_time_mean",5,429549,429606,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16384/manual_time_median",5,427365,427430,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16384/manual_time_stddev",5,16452,16468,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/65536/manual_time_mean",5,1.67852e+06,1.67853e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/65536/manual_time_median",5,1.66999e+06,1.67005e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/65536/manual_time_stddev",5,16088.8,16025.6,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/262144/manual_time_mean",5,7.02506e+06,7.02498e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/262144/manual_time_median",5,6.77418e+06,6.77416e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/262144/manual_time_stddev",5,415290,415435,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1048576/manual_time_mean",5,2.7753e+07,2.77464e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1048576/manual_time_median",5,2.6909e+07,2.69085e+07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/1048576/manual_time_stddev",5,1.31146e+06,1.31415e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4194304/manual_time_mean",5,1.07158e+08,1.07138e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4194304/manual_time_median",5,1.07072e+08,1.07056e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/4194304/manual_time_stddev",5,232260,229926,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16777216/manual_time_mean",5,4.37091e+08,4.3701e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16777216/manual_time_median",5,4.32782e+08,4.32702e+08,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Prim_vector/16777216/manual_time_stddev",5,7.3398e+06,7.3352e+06,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1/manual_time_mean",5,94.4468,128.596,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1/manual_time_median",5,94.1532,128.248,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1/manual_time_stddev",5,0.907806,1.19656,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4/manual_time_mean",5,196.935,231.952,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4/manual_time_median",5,196.802,231.67,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4/manual_time_stddev",5,0.916698,1.1525,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16/manual_time_mean",5,587.001,623.619,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16/manual_time_median",5,585.61,621.886,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16/manual_time_stddev",5,5.34535,5.68121,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/64/manual_time_mean",5,2064.33,2106.61,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/64/manual_time_median",5,2063.82,2105.28,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/64/manual_time_stddev",5,2.78567,2.41067,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/256/manual_time_mean",5,7968.06,8077.07,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/256/manual_time_median",5,7966.5,8078.12,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/256/manual_time_stddev",5,26.3344,25.842,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1024/manual_time_mean",5,32017.2,32300.3,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1024/manual_time_median",5,31891.9,32159.7,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/1024/manual_time_stddev",5,278.097,282.048,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4096/manual_time_mean",5,127459,128154,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4096/manual_time_median",5,127408,128062,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/4096/manual_time_stddev",5,179.69,224.185,ns,,,,,
"binomial_lpmf_Prim_int_Prim_int_Rev_vector/16384/manual_time_mean",5,516824,520317,ns,,,,,
